,negative,positive,neutral,total
understand,13.755371736794594,1.5908407010739218,3.960277510606268,19.306489948474784
anyone,16.541877456360037,1.0913416123233746,1.502567989538609,19.13578705822202
friend,10.308415293886657,2.4828025997728838,6.292486692987587,19.083704586647126
helpful,10.646918868962857,8.231399606036359,0.20354291370363087,19.081861388702848
receive,12.615399959532033,1.7475157803971217,4.695386188919113,19.058301928848266
person,15.943269626216692,1.9418474568161708,1.0665105967145034,18.951627679747368
get home,12.388033976175162,3.6431991952693714,2.9019683866605037,18.933201558105036
15,13.318619096341449,0.9235639201168252,4.672987775959061,18.915170792417335
phl,10.461883747175362,3.491501012309956,4.59233828163828,18.545723041123598
ewr,13.444006333350758,1.9176046431970297,3.180636085972596,18.54224706252038
gate agent,15.061331751529671,3.0877428199165213,0.3164291994646328,18.465503770910825
ridiculous,18.178399330358282,0.0,0.0,18.178399330358282
though,11.07366712242227,3.943129926713893,3.157686354007671,18.17448340314383
money,16.046598157746715,0.0,2.1152281996532256,18.16182635739994
speak,15.694976773521446,0.9754116556706033,1.461935368142963,18.13232379733501
respond,12.734469696562774,3.0387850357051995,2.2814308950793287,18.054685627347304
happy,9.46569731592009,7.648507540297198,0.8972779986727536,18.01148285489004
seriously,16.56468155108811,1.0990882082016413,0.3078444425602843,17.971614201850038
many,11.158010030179664,2.976180341439524,3.739847551170316,17.874037922789505
claim,14.948270393561298,1.5569696658178196,1.3434425036680566,17.848682563047177
could not,15.528292487314914,0.8306007225903848,1.4297006095289648,17.788593819434265
fee,12.476450431066814,1.1812969152174355,4.112281512157421,17.77002885844167
call back,17.6778547743265,0.0,0.0,17.6778547743265
without,15.822597469306816,0.15942506622627614,1.6653194435772383,17.64734197911033
site,13.14758337121319,1.6267537272033654,2.858469680711384,17.63280677912794
schedule,12.003639260812355,0.8587064598203202,4.68094321479969,17.543288935432365
flight attendant,11.24176915716336,5.259576735018056,1.0150699714463465,17.516415863627763
suppose,14.587718770737652,0.20896967667036967,2.7109079202209667,17.507596367628988
instead,12.635653556028709,0.43163080075067384,4.43718077296717,17.504465129746553
clt,11.447713469727413,1.9783129012922558,4.0380666953341775,17.464093066353847
chicago,9.014789537508559,3.0976801281396416,5.349775738237854,17.462245403886055
direct,11.185706566168177,2.1663704424632564,4.09042453257421,17.442501541205644
policy,11.232845697547587,0.22467524998971974,5.966259411971691,17.423780359508996
reply,8.651370945525311,5.322944949231463,3.306267354699723,17.280583249456498
earlier,8.61682786200352,2.9177358948861674,5.668339642019186,17.202903398908873
everyone,13.26251595934653,2.64825185463798,1.1908511707344216,17.101618984718932
deal,8.052589972284682,3.324804312099699,5.714300699578583,17.091694983962967
boston,10.506111667386032,1.723547856168692,4.790047071172746,17.01970659472747
question,7.395792158411103,1.1527542539263909,8.464859546326558,17.013405958664052
